product_name,category,discounted_price,actual_price,discount_percentage,rating,rating_count,date_added
Fundamental optimal structure,Electronics,₹248.04,₹285.10,13%,1.5,"1,678",02-05-2025
Reactive cohesive encryption,Books,"₹1,441.57","₹1,638.15",12%,2.2,"4,344",01-09-2024
Realigned value-added interface,Sports,₹391.81,₹536.73,27%,4.1,"3,204",12-07-2023
Enhanced next generation pricing structure,Electronics,₹123.27,₹132.55,7%,2.8,"3,731",09-08-2020
Operative web-enabled knowledgebase,Sports,₹320.61,₹377.19,15%,4.9,"3,472",11-05-2022
Synergistic mission-critical Graphical User Interface,Beauty,"₹1,552.58","₹1,940.72",20%,2.3,"4,064",24-01-2020
Switchable zero administration superstructure,Clothing,"₹1,419.84","₹1,774.80",20%,4.3,"2,789",21-09-2021
Persevering actuating conglomeration,Sports,₹969.33,"₹1,730.94",44%,3.1,"2,451",24-02-2023
Grass-roots zero-defect superstructure,Beauty,₹367.40,₹622.72,41%,4.6,260,12-01-2021
Seamless tertiary artificial intelligence,Beauty,₹764.16,₹804.38,5%,4.6,"2,660",05-01-2020
Re-engineered methodical contingency,Electronics,₹741.17,₹772.05,4%,2.6,"1,226",30-04-2024
Multi-lateral needs-based project,Home & Kitchen,₹731.70,"₹1,306.61",44%,3.8,"3,637",15-02-2024
Versatile national superstructure,Clothing,"₹1,416.00","₹1,792.41",21%,2.8,959,15-03-2020
Digitized client-driven parallelism,Beauty,₹778.92,"₹1,469.66",47%,1.1,"1,157",22-10-2023
Synergized human-resource paradigm,Books,"₹1,000.52","₹1,053.18",5%,3.9,"3,049",15-03-2023
De-engineered maximized methodology,Home & Kitchen,₹310.74,₹310.74,0%,1.8,"3,148",10-01-2021
Multi-tiered reciprocal structure,Sports,₹371.45,₹501.96,26%,1.9,"2,596",07-04-2023
Mandatory incremental array,Clothing,₹260.59,₹420.31,38%,1.8,"2,110",18-10-2020
Secured fault-tolerant website,Beauty,₹996.90,"₹1,083.59",8%,2.3,524,20-06-2020
Realigned modular challenge,Books,₹359.92,₹705.72,49%,5.0,"1,894",09-08-2022
Up-sized reciprocal application,Home & Kitchen,"₹1,322.02","₹1,810.98",27%,1.6,907,16-04-2023
Programmable leadingedge capability,Electronics,"₹1,514.08","₹1,824.19",17%,1.7,865,02-11-2024
Triple-buffered exuding task-force,Electronics,₹68.72,₹102.56,33%,4.8,"1,261",23-11-2021
Re-engineered fault-tolerant Graphical User Interface,Home & Kitchen,₹171.07,₹185.95,8%,4.2,"3,201",27-02-2020
Reduced human-resource array,Electronics,"₹1,354.07","₹1,556.40",13%,4.0,"2,046",05-02-2024
Virtual human-resource ability,Sports,₹470.55,₹771.40,39%,4.7,944,30-04-2025
De-engineered systemic firmware,Beauty,₹960.15,"₹1,433.06",33%,1.3,"1,542",12-06-2024
Extended impactful system engine,Sports,"₹1,060.16","₹1,893.14",44%,2.9,"4,000",10-05-2021
De-engineered explicit definition,Beauty,₹979.21,"₹1,958.41",50%,1.3,"1,299",25-09-2024
Ameliorated regional alliance,Electronics,"₹1,273.49","₹1,872.78",32%,2.3,"3,210",05-07-2020
Inverse modular extranet,Books,₹242.31,₹351.18,31%,2.7,"4,637",07-05-2024
Vision-oriented modular help-desk,Sports,₹823.69,₹885.69,7%,3.7,"4,945",07-06-2023
Robust disintermediate matrices,Electronics,"₹1,096.10","₹1,405.26",22%,3.8,"4,393",10-03-2020
Multi-layered clear-thinking Local Area Network,Sports,₹419.95,₹763.54,45%,4.2,112,11-01-2020
Function-based global open system,Home & Kitchen,₹621.02,"₹1,035.04",40%,4.8,"2,746",21-05-2022
Digitized even-keeled challenge,Books,₹854.83,"₹1,110.17",23%,2.4,"2,845",13-01-2022
Diverse leadingedge attitude,Electronics,₹251.16,₹285.41,12%,1.6,"2,872",29-09-2021
Progressive local Graphical User Interface,Clothing,₹641.59,"₹1,145.69",44%,2.3,"2,609",22-01-2020
Networked grid-enabled Local Area Network,Sports,₹311.02,₹393.69,21%,4.5,"1,453",25-03-2024
Customizable high-level success,Sports,"₹1,445.21","₹1,979.74",27%,3.2,"4,030",15-11-2021
Ergonomic next generation parallelism,Clothing,₹549.54,₹654.21,16%,3.8,"4,663",05-02-2021
Up-sized 3rdgeneration software,Beauty,₹431.23,₹607.36,29%,3.1,"3,944",18-05-2024
Upgradable 24hour paradigm,Books,₹289.82,₹432.57,33%,2.6,82,28-10-2024
Synergized composite algorithm,Books,₹352.86,₹400.98,12%,2.6,"2,689",06-07-2021
Pre-emptive 24/7 groupware,Home & Kitchen,₹403.44,₹443.34,9%,2.8,"3,500",20-12-2022
Function-based zero tolerance paradigm,Books,"₹1,826.91","₹1,943.52",6%,3.7,"1,292",30-01-2021
Team-oriented optimizing approach,Clothing,"₹1,318.45","₹1,515.46",13%,1.3,"2,622",04-12-2023
Profit-focused even-keeled product,Sports,"₹1,536.45","₹1,896.85",19%,4.2,"1,567",02-06-2021
Diverse bandwidth-monitored concept,Home & Kitchen,₹184.39,₹292.68,37%,3.1,"1,842",01-09-2023
Extended user-facing definition,Books,₹186.36,₹235.90,21%,2.7,"4,630",13-01-2022
Expanded needs-based flexibility,Sports,"₹1,113.19","₹1,567.87",29%,1.9,276,05-12-2021
Right-sized zero administration standardization,Books,₹585.13,"₹1,083.57",46%,3.2,"2,301",10-08-2022
Re-contextualized attitude-oriented productivity,Sports,₹590.83,₹720.53,18%,2.2,"2,556",25-02-2021
Secured contextually-based system engine,Beauty,₹422.58,₹681.58,38%,3.4,"2,249",19-06-2021
Organized encompassing protocol,Sports,₹511.81,₹701.11,27%,1.3,"2,761",17-11-2020
Cross-group homogeneous moratorium,Sports,₹963.50,"₹1,357.04",29%,2.0,"4,496",18-04-2025
Multi-channeled scalable forecast,Clothing,₹790.34,"₹1,519.88",48%,3.6,"3,410",06-10-2023
Front-line regional approach,Home & Kitchen,"₹1,011.02","₹1,366.24",26%,4.4,"1,397",29-09-2021
Programmable interactive concept,Beauty,"₹1,058.94","₹1,680.85",37%,4.4,"3,686",11-06-2021
Mandatory 6thgeneration functionalities,Electronics,"₹1,623.66","₹1,764.85",8%,3.4,"3,743",01-06-2024
Right-sized executive Graphical User Interface,Sports,"₹1,697.40","₹1,973.72",14%,1.7,"3,447",28-09-2021
Quality-focused zero-defect focus group,Beauty,₹958.91,"₹1,065.46",10%,1.7,"2,643",11-02-2024
Optimized human-resource hierarchy,Electronics,"₹1,214.75","₹1,868.84",35%,3.8,"3,624",02-04-2022
Right-sized multi-state focus group,Clothing,₹598.84,₹831.72,28%,2.2,649,28-02-2022
Cross-platform static frame,Home & Kitchen,₹922.41,"₹1,844.82",50%,1.2,"3,656",21-12-2022
Centralized stable workforce,Home & Kitchen,₹262.27,₹301.46,13%,1.7,"4,853",03-11-2023
Business-focused cohesive website,Home & Kitchen,₹414.29,₹499.14,17%,2.7,"3,870",28-02-2021
Pre-emptive background superstructure,Beauty,"₹1,192.45","₹1,204.49",1%,4.2,176,09-08-2022
User-centric bi-directional neural-net,Beauty,₹188.64,₹200.68,6%,4.4,"3,027",19-02-2025
Business-focused next generation open architecture,Electronics,₹648.75,₹968.28,33%,2.8,"2,447",25-11-2023
Synchronized responsive moratorium,Sports,₹602.60,₹700.70,14%,4.5,"3,940",27-04-2023
Multi-channeled solution-oriented encryption,Home & Kitchen,₹403.38,₹560.25,28%,1.4,"1,617",02-05-2023
Centralized background implementation,Clothing,₹321.69,₹328.25,2%,4.6,"1,831",17-08-2020
Synergistic user-facing middleware,Beauty,₹902.47,"₹1,289.25",30%,1.2,"1,882",14-02-2024
Profit-focused empowering focus group,Beauty,"₹1,239.40","₹1,424.60",13%,1.6,"2,517",02-06-2023
Automated asymmetric protocol,Electronics,₹323.09,₹455.05,29%,2.7,"2,478",18-04-2023
Exclusive optimal support,Sports,₹290.52,₹315.78,8%,1.6,841,28-07-2020
Up-sized system-worthy product,Books,₹202.07,₹273.07,26%,2.4,"1,133",05-07-2023
Distributed optimizing software,Books,₹720.85,"₹1,287.24",44%,3.5,"2,879",18-12-2020
Reverse-engineered multimedia help-desk,Sports,₹69.14,₹130.45,47%,2.9,"4,969",17-01-2021
Multi-lateral even-keeled attitude,Home & Kitchen,₹641.95,₹867.50,26%,1.2,"1,293",10-09-2021
Multi-lateral homogeneous policy,Beauty,₹356.84,₹414.93,14%,2.9,925,22-02-2024
Integrated coherent approach,Beauty,"₹1,361.74","₹1,547.43",12%,1.6,"2,003",19-06-2020
Streamlined asymmetric circuit,Sports,"₹1,250.28","₹1,373.93",9%,3.2,"3,411",07-04-2021
Advanced global algorithm,Beauty,₹376.74,₹724.50,48%,2.8,"4,213",11-01-2024
Customer-focused even-keeled neural-net,Books,"₹1,025.21","₹1,220.49",16%,3.0,"1,007",27-08-2021
Extended content-based throughput,Clothing,₹117.08,₹119.47,2%,1.2,"2,604",28-02-2020
Optional responsive orchestration,Clothing,₹575.98,"₹1,129.37",49%,3.7,928,15-06-2022
Down-sized dedicated workforce,Electronics,₹71.88,₹117.84,39%,1.5,"1,320",21-08-2022
Enterprise-wide incremental knowledgebase,Home & Kitchen,₹665.64,₹756.41,12%,1.9,"2,124",03-02-2023
Programmable asynchronous strategy,Beauty,₹481.28,₹534.76,10%,3.3,"1,975",26-01-2025
Visionary stable secured line,Books,₹309.17,₹606.21,49%,2.7,"2,402",04-11-2020
Monitored directional task-force,Electronics,"₹1,040.35","₹1,857.76",44%,3.0,"1,319",15-04-2021
Extended context-sensitive Internet solution,Electronics,₹176.72,₹226.57,22%,3.9,"1,845",27-11-2023
Ergonomic bifurcated analyzer,Sports,₹920.03,"₹1,295.82",29%,2.6,105,03-03-2023
Face-to-face context-sensitive knowledgebase,Clothing,"₹1,066.75","₹1,198.60",11%,2.0,"1,451",11-11-2020
Programmable tertiary model,Sports,"₹1,090.70","₹1,473.92",26%,3.7,"4,367",08-10-2021
Configurable motivating system engine,Home & Kitchen,₹180.85,₹354.61,49%,4.4,"3,212",09-07-2020
Innovative optimal parallelism,Home & Kitchen,₹186.28,₹326.80,43%,2.2,"3,970",05-03-2023
Ameliorated motivating website,Sports,₹764.66,"₹1,529.33",50%,1.5,"4,682",26-03-2025
